TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,code,mass,masscomm
1552.7,spuh,grouse1,Tetraoninae sp.,grouse sp.,grouse sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,880,Using mass of STGR
1553,species,wiltur,Meleagris gallopavo,Wild Turkey,Wild Turkey,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,1,5800,NA
1561,species,retloo,Gavia stellata,Red-throated Loon,Red-throated Loon,Gaviiformes,Gaviidae (Loons),Loons and Grebes,NA,1,1400,NA
1562,species,arcloo,Gavia arctica,Arctic Loon,Black-throated Loon,Gaviiformes,Gaviidae (Loons),NA,NA,2,2600,NA
1565,species,pacloo,Gavia pacifica,Pacific Loon,Pacific Loon,Gaviiformes,Gaviidae (Loons),NA,NA,1,1700,NA
1567,species,comloo,Gavia immer,Common Loon,Great Northern Loon,Gaviiformes,Gaviidae (Loons),NA,NA,1,4100,NA
1568,species,yebloo,Gavia adamsii,Yellow-billed Loon,Yellow-billed Loon,Gaviiformes,Gaviidae (Loons),NA,NA,2,5400,NA
1570,spuh,loon,Gavia sp.,loon sp.,loon sp.,Gaviiformes,Gaviidae (Loons),NA,NA,NA,1700,Using mass of PALO
1596,species,leagre,Tachybaptus dominicus,Least Grebe,Least Grebe,Podicipediformes,Podicipedidae (Grebes),NA,NA,2,115,NA
1601,species,pibgre,Podilymbus podiceps,Pied-billed Grebe,Pied-billed Grebe,Podicipediformes,Podicipedidae (Grebes),NA,NA,1,450,NA
1611,species,horgre,Podiceps auritus,Horned Grebe,Horned Grebe,Podicipediformes,Podicipedidae (Grebes),NA,NA,1,450,NA
1614,species,rengre,Podiceps grisegena,Red-necked Grebe,Red-necked Grebe,Podicipediformes,Podicipedidae (Grebes),NA,NA,1,1000,NA
1621,species,eargre,Podiceps nigricollis,Eared Grebe,Black-necked Grebe,Podicipediformes,Podicipedidae (Grebes),NA,NA,1,300,NA
1632,spuh,podice1,Podiceps sp.,Podiceps sp.,Podiceps sp.,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,450,Using mass of HOGR
1633,species,wesgre,Aechmophorus occidentalis,Western Grebe,Western Grebe,Podicipediformes,Podicipedidae (Grebes),NA,NA,1,1500,NA
1637,species,clagre,Aechmophorus clarkii,Clark's Grebe,Clark's Grebe,Podicipediformes,Podicipedidae (Grebes),NA,NA,1,1400,NA
1641,spuh,grebe1,Podicipedidae sp.,grebe sp.,grebe sp.,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,1000,Using mass of RNGR
1642,species,grefla2,Phoenicopterus ruber,American Flamingo,American Flamingo,Phoenicopteriformes,Phoenicopteridae (Flamingos),NA,NA,3,2550,NA
1649,spuh,flamin1,Phoenicopteridae sp.,flamingo sp.,flamingo sp.,Phoenicopteriformes,Phoenicopteridae (Flamingos),NA,NA,NA,NA,NA
1680,spuh,pengui1,Spheniscidae sp.,penguin sp.,penguin sp.,Sphenisciformes,Spheniscidae (Penguins),NA,NA,NA,NA,NA
1681,species,yenalb,Thalassarche chlororhynchos,Yellow-nosed Albatross,Atlantic/Indian Yellow-nosed Albatross,Procellariiformes,Diomedeidae (Albatrosses),"Albatrosses, Petrels, and Shearwaters",NA,4,2200,NA
1686,species,whcalb1,Thalassarche cauta,White-capped Albatross,Shy Albatross,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,4,NA,NA
1689,species,salalb1,Thalassarche salvini,Salvin's Albatross,Salvin's Albatross,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,5,3900,NA
1692,species,bkbalb,Thalassarche melanophris,Black-browed Albatross,Black-browed/Campbell Albatross,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,5,3950,NA
1695,spuh,smaalb1,Thalassarche sp.,small albatross sp.,small albatross sp.,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,NA,2200,Using mass of YNAL
1697,species,limalb1,Phoebetria palpebrata,Light-mantled Albatross,Light-mantled Albatross,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,5,NA,NA
1701,species,wanalb,Diomedea exulans,Wandering Albatross,wandering albatross sp.,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,5,NA,NA
1707,spuh,laralb1,Diomedea sp.,large albatross sp.,large albatross sp.,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,NA,NA,NA
1709,species,layalb,Phoebastria immutabilis,Laysan Albatross,Laysan Albatross,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,2,3100,NA
1711,species,bkfalb,Phoebastria nigripes,Black-footed Albatross,Black-footed Albatross,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,1,3200,NA
1712,species,shtalb,Phoebastria albatrus,Short-tailed Albatross,Short-tailed Albatross,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,3,5800,NA
1712.5,spuh,albatr1,Diomedeidae sp.,albatross sp.,albatross sp.,Procellariiformes,Diomedeidae (Albatrosses),NA,NA,NA,3200,Using BFAL mass
1716,species,norful,Fulmarus glacialis,Northern Fulmar,Northern Fulmar,Procellariiformes,Procellariidae (Shearwaters and Petrels),NA,NA,1,680,NA
1729,species,grwpet1,Pterodroma macroptera,Great-winged Petrel,Great-winged Petrel,Procellariiformes,Procellariidae (Shearwaters and Petrels),NA,NA,5,540,NA
1736,species,tripet1,Pterodroma arminjoniana,Trindade Petrel,Trindade Petrel,Procellariiformes,Procellariidae (Shearwaters and Petrels),NA,NA,3,330,using mass for Herald Petrel
1739,species,murpet,Pterodroma ultima,Murphy's Petrel,Murphy's Petrel,Procellariiformes,Procellariidae (Shearwaters and Petrels),NA,NA,3,360,NA
